Study_No_,latitude,longitude,CSA_practices,Crop_group,crop_type,Rainfall,Altitude_r,slope,temp_mean_annual,precip_seasonality,lgp_days,soil_clay,soil_ph,soil_soc,land_cover,Indicator,response_ratio,log_response_ratio
6,8.38,39.37,Conservation tillage,Cereal,Maize,755.658,1415.8353,2.3403988,20.710514,84.359604,214.0,31.700000762939453,7.700000286102295,27.89999961853028,30,yield,1.1145833333333333,0.1084806429940698
6,8.66,39.43,Conservation tillage,Cereal,Maize,767.6319,1455.8497,1.0800745,20.921404,88.64855,214.0,33.79999923706055,7.900000095367432,21.39999961853028,50,yield,1.087837837837838,0.084192091220348
6,8.38,39.37,Conservation tillage,Cereal,Teff,755.658,1415.8353,2.3403988,20.710514,84.359604,214.0,31.700000762939453,7.700000286102295,27.89999961853028,30,yield,1.1566265060240963,0.1455075836712382
6,8.66,39.43,Conservation tillage,Cereal,Teff,767.6319,1455.8497,1.0800745,20.921404,88.64855,214.0,33.79999923706055,7.900000095367432,21.39999961853028,50,yield,1.2317073170731707,0.2084012695770063
35,8.66,39.43,Conservation tillage,Cereal,Maize,767.6319,1455.8497,1.0800745,20.921404,88.64855,214.0,33.79999923706055,7.900000095367432,21.39999961853028,50,yield,1.5889830508474576,0.4630942209448007
35,8.66,39.43,Conservation tillage,Cereal,Maize,767.6319,1455.8497,1.0800745,20.921404,88.64855,214.0,33.79999923706055,7.900000095367432,21.39999961853028,50,yield,0.8834745762711864,-0.1238927637867539
35,8.66,39.43,Conservation tillage,Cereal,Maize,767.6319,1455.8497,1.0800745,20.921404,88.64855,214.0,33.79999923706055,7.900000095367432,21.39999961853028,50,yield,1.3834745762711864,0.3245981436908756
122,8.66,39.43,Conservation tillage,Cropland,Cropland,767.6319,1455.8497,1.0800745,20.921404,88.64855,214.0,33.79999923706055,7.900000095367432,21.39999961853028,50,yield,0.9192546583850932,-0.0841920912203479
175,9.58,41.87,drip irrigation,Vegetable,Tomato,633.80585,1247.3824,4.2092156,24.318882,64.69834,153.0,32.20000076293945,7.800000190734863,32.79999923706055,50,yield,1.3955512572533848,0.3332895037054963
175,9.58,41.87,drip irrigation,Vegetable,Tomato,633.80585,1247.3824,4.2092156,24.318882,64.69834,153.0,32.20000076293945,7.800000190734863,32.79999923706055,50,yield,1.493230174081238,0.4009416755163471
175,9.58,41.87,drip irrigation,Vegetable,Tomato,633.80585,1247.3824,4.2092156,24.318882,64.69834,153.0,32.20000076293945,7.800000190734863,32.79999923706055,50,yield,1.5412221144519884,0.4325756825197561
175,9.58,41.87,drip irrigation,Vegetable,Tomato,633.80585,1247.3824,4.2092156,24.318882,64.69834,153.0,32.20000076293945,7.800000190734863,32.79999923706055,50,yield,1.513094083414161,0.4141566162266228
175,9.58,41.87,drip irrigation,Vegetable,Tomato,633.80585,1247.3824,4.2092156,24.318882,64.69834,153.0,32.20000076293945,7.800000190734863,32.79999923706055,50,water use efficiency,2.0,0.6931471805599453
175,9.58,41.87,drip irrigation,Vegetable,Tomato,633.80585,1247.3824,4.2092156,24.318882,64.69834,153.0,32.20000076293945,7.800000190734863,32.79999923706055,50,water use efficiency,1.5,0.4054651081081644
175,9.58,41.87,drip irrigation,Vegetable,Tomato,633.80585,1247.3824,4.2092156,24.318882,64.69834,153.0,32.20000076293945,7.800000190734863,32.79999923706055,50,water use efficiency,1.8823529411764703,0.6325225587435105
175,9.58,41.87,drip irrigation,Vegetable,Tomato,633.80585,1247.3824,4.2092156,24.318882,64.69834,153.0,32.20000076293945,7.800000190734863,32.79999923706055,50,water use efficiency,1.7058823529411764,0.5340824859302579
