Study_No_,latitude,longitude,CSA_practices,Crop_group,crop_type,Rainfall,Altitude_r,slope,temp_mean_annual,precip_seasonality,lgp_days,soil_clay,soil_ph,soil_soc,land_cover,Indicator,response_ratio,log_response_ratio
NJ0128,6.00785,38.17469,Crop Rotation,Cereal,Wheat,1335.7692,1891.1686,12.399557,18.433117,64.06391,303.0,31.700000762939453,5.599999904632568,47.29999923706055,10,biomass yield,1.25531914893617,0.2273898421956608
NJ0128,6.00785,38.17469,Crop Rotation,Cereal,Wheat,1335.7692,1891.1686,12.399557,18.433117,64.06391,303.0,31.700000762939453,5.599999904632568,47.29999923706055,10,biomass yield,2.106382978723404,0.7449722484245312
NJ0128,6.00785,38.17469,Crop Rotation,Cereal,Wheat,1335.7692,1891.1686,12.399557,18.433117,64.06391,303.0,31.700000762939453,5.599999904632568,47.29999923706055,10,biomass yield,1.553191489361702,0.4403118394383324
NJ0128,6.00785,38.17469,Crop Rotation,Cereal,Wheat,1335.7692,1891.1686,12.399557,18.433117,64.06391,303.0,31.700000762939453,5.599999904632568,47.29999923706055,10,biomass yield,1.319148936170213,0.2769867833350329
NJ0128,6.00785,38.17469,Crop Rotation,Cereal,Wheat,1335.7692,1891.1686,12.399557,18.433117,64.06391,303.0,31.700000762939453,5.599999904632568,47.29999923706055,10,yield,1.2,0.1823215567939546
NJ0128,6.00785,38.17469,Crop Rotation,Cereal,Wheat,1335.7692,1891.1686,12.399557,18.433117,64.06391,303.0,31.700000762939453,5.599999904632568,47.29999923706055,10,yield,1.6666666666666667,0.5108256237659907
NJ0128,6.00785,38.17469,Crop Rotation,Cereal,Wheat,1335.7692,1891.1686,12.399557,18.433117,64.06391,303.0,31.700000762939453,5.599999904632568,47.29999923706055,10,yield,1.8666666666666665,0.6241543090729937
NJ0128,6.00785,38.17469,Crop Rotation,Cereal,Wheat,1335.7692,1891.1686,12.399557,18.433117,64.06391,303.0,31.700000762939453,5.599999904632568,47.29999923706055,10,yield,1.2666666666666666,0.2363887780642303
JO0149,6.05427,37.57736,Inorganic Fertilizer,Vegetable,Onion,805.6347,1196.1829,0.88731027,23.058664,50.103653,275.0,33.10000228881836,6.700000286102295,34.60000228881836,40,biomass yield,1.2429642248722317,0.2174990308370172
JO0149,6.05427,37.57736,Inorganic Fertilizer,Vegetable,Onion,805.6347,1196.1829,0.88731027,23.058664,50.103653,275.0,33.10000228881836,6.700000286102295,34.60000228881836,40,biomass yield,1.4170357751277685,0.3485672074807149
